univ_rank,first_initial,last_initial,cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,h_index,i_10_index
50,T,C,55,64,106,173,227,338,19,40
50,L,C,506,435,419,467,442,370,31,56
50,A,C,2446,2820,3060,3250,3486,3388,49,80
50,N,C,453,699,683,728,821,824,36,89
50,R,F,85,77,94,103,149,199,19,34
50,J,G,90,130,149,159,136,161,20,29
50,D,G,40,53,109,195,246,390,16,25
50,S,H,571,638,675,618,614,605,33,61
50,B,H,72,105,120,170,216,260,17,20
50,G,K,17,20,53,54,45,42,5,5
